cid,cmpdname,CanonicalSMILES,activity
815515,"methyl 4-(6-amino-5-chloro-1,3-benzothiazol-2-yl)benzoate",COC(=O)C1=CC=C(C=C1)C2=NC3=C(S2)C=C(C(=C3)Cl)N,Active
9581694,N-[(E)-(2-ethylsulfanyl-3-methylimidazol-4-yl)methylideneamino]-4-nitroaniline,CCSC1=NC=C(N1C)C=NNC2=CC=C(C=C2)[N+](=O)[O-],Active
942046,"3-amino-6-(3-methoxyphenyl)-4-(trifluoromethyl)thieno[2,3-b]pyridine-2-carbonitrile",COC1=CC=CC(=C1)C2=NC3=C(C(=C2)C(F)(F)F)C(=C(S3)C#N)N,Active
845544,"3-amino-4-phenyl-6-thiophen-2-ylthieno[2,3-b]pyridine-2-carbonitrile",C1=CC=C(C=C1)C2=CC(=NC3=C2C(=C(S3)C#N)N)C4=CC=CS4,Active
4204023,"3-[(2,4-dimethylphenyl)iminomethyl]-2-benzothiophen-1-ol",CC1=CC(=C(C=C1)N=CC2=C3C=CC=CC3=C(S2)O)C,Active
3841103,3-(phenyliminomethyl)-2-benzothiophen-1-ol,C1=CC=C(C=C1)N=CC2=C3C=CC=CC3=C(S2)O,Active
3798575,3-[(4-methylphenyl)iminomethyl]-2-benzothiophen-1-ol,CC1=CC=C(C=C1)N=CC2=C3C=CC=CC3=C(S2)O,Active
1472977,"4-[4-(6,8-dibromoquinolin-2-yl)phenyl]morpholine",C1COCCN1C2=CC=C(C=C2)C3=NC4=C(C=C(C=C4C=C3)Br)Br,Active
9619313,"ethyl 3-[2-[(2E)-2-[(4-chlorophenyl)methylidene]hydrazinyl]-2-oxoethoxy]pyrido[1,2-a]indole-10-carboxylate",CCOC(=O)C1=C2C=CC=CN2C3=C1C=CC(=C3)OCC(=O)NN=CC4=CC=C(C=C4)Cl,Active
5334671,"2-[N-(benzenesulfonyl)-2,5-dimethylanilino]-N-[(E)-[5-(4-nitrophenyl)furan-2-yl]methylideneamino]acetamide",CC1=CC(=C(C=C1)C)N(CC(=O)NN=CC2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-])S(=O)(=O)C4=CC=CC=C4,Active
5346216,(E)-1-(3-bromophenyl)-3-[4-(dimethylamino)phenyl]prop-2-en-1-one,CN(C)C1=CC=C(C=C1)C=CC(=O)C2=CC(=CC=C2)Br,Active
2221657,"2-(5-chloropyridin-2-yl)-6-nitrobenzo[de]isoquinoline-1,3-dione",C1=CC2=C(C=CC3=C2C(=C1)C(=O)N(C3=O)C4=NC=C(C=C4)Cl)[N+](=O)[O-],Active
